ensembl_gene_id,DNASU_CloneID,GeneSymbol,description.ASUCloneT,TF_Name,Family_Name,DBDs,Superclass,Class,Family,Subfamily,TRANSFAC,UNIPROT,UNIPROT_HUMAN,UNIPROT_MOUSE,UNIPROT_RAT,description.ASUCloneF
ENSG00000028839,HsCD00080048,TBPL1,TATA-box binding protein like 1 [Source:HGNC Symbol;Acc:HGNC:11589],TBPL1,TBP,TBP,8,8.1,8.1.1,,PR000270738,NA,P62380,P62340,D4A898,NA
ENSG00000029153,HsCD00516175,ARNTL2,aryl hydrocarbon receptor nuclear translocator like 2 [Source:HGNC Symbol;Acc:HGNC:18984],ARNTL2,bHLH,HLH,1,1.2,1.2.5,1.2.5.2,PR000016958,NA,Q8WYA1,Q2VPD4,H9CTG8,NA
ENSG00000030419,HsCD00079766,IKZF2,IKAROS family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:13177],IKZF2,C2H2 ZF,zf-C2H2,2,2.3,2.3.4,2.3.4.4,PR000011346,NA,Q9UKS7,P81183,D4A7Y7,NA
ENSG00000037965,HsCD00515489,HOXC8,homeobox C8 [Source:HGNC Symbol;Acc:HGNC:5129],HOXC8,Homeodomain,Homeobox,3,3.1,3.1.1,3.1.1.7,PR000010383,NA,P31273,P09025,F1MAK7,NA
ENSG00000041988,HsCD00040630,THAP3,"THAP domain containing, apoptosis associated protein 3 [Source:HGNC Symbol;Acc:HGNC:20855]",THAP3,THAP finger,THAP,2,2.9,2.9.1,,PR000699152,NA,Q8WTV1,Q8BJ25,B0K027,NA
ENSG00000043355,HsCD00746546,ZIC2,Zic family member 2 [Source:HGNC Symbol;Acc:HGNC:12873],ZIC2,C2H2 ZF,zf-C2H2,2,2.3,2.3.3,2.3.3.1,PR000015155,NA,O95409,Q62520,D3Z8X9,NA
ENSG00000048405,HsCD00514404,ZNF800,zinc finger protein 800 [Source:HGNC Symbol;Acc:HGNC:27267],ZNF800,C2H2 ZF,zf-C2H2,2,2.3,2.3.4,2.3.4.0,PR000677693,NA,Q2TB10,Q0VEE6,D3ZPQ4,NA
ENSG00000049618,HsCD00745914,ARID1B,AT-rich interaction domain 1B [Source:HGNC Symbol;Acc:HGNC:18040],ARID1B,ARID/BRIGHT,ARID,3,3.7,3.7.1,3.7.1.1,PR000004634,NA,Q8NFD5,E9Q6R4,,NA
ENSG00000049768,HsCD00082675,FOXP3,forkhead box P3 [Source:HGNC Symbol;Acc:HGNC:6106],FOXP3,Forkhead,Fork_head,3,3.3,3.3.1,3.3.1.16,PR000015163,NA,Q9BZS1,Q99JB6,D3ZKI1,NA
ENSG00000050344,HsCD00516026,NFE2L3,"nuclear factor, erythroid 2 like 3 [Source:HGNC Symbol;Acc:HGNC:7783]",NFE2L3,bZIP,bZIP_1,1,1.1,1.1.1,1.1.1.2,PR000012603,NA,Q9Y4A8,Q9WTM4,D4A7S7,NA
ENSG00000053254,HsCD00296252,FOXN3,forkhead box N3 [Source:HGNC Symbol;Acc:HGNC:1928],FOXN3,Forkhead,Fork_head,3,3.3,3.3.1,3.3.1.14,PR000005820,NA,O00409,Q499D0,D3ZIJ7,NA
ENSG00000054598,HsCD00745062,FOXC1,forkhead box C1 [Source:HGNC Symbol;Acc:HGNC:3800],FOXC1,Forkhead,Fork_head,3,3.3,3.3.1,3.3.1.3,PR000016211,NA,Q12948,Q61572,M0RCA0,NA
ENSG00000057657,HsCD00296219,PRDM1,"PR domain containing 1, with ZNF domain [Source:HGNC Symbol;Acc:HGNC:9346]",PRDM1,C2H2 ZF,zf-C2H2,2,2.3,2.3.3,2.3.3.12,PR000021468,NA,O75626,Q60636,D4A1S2,NA
ENSG00000057935,HsCD00745723,MTA3,metastasis associated 1 family member 3 [Source:HGNC Symbol;Acc:HGNC:23784],MTA3,"GATA,Myb/SANT","GATA,Myb_DNA-binding",2,2.2,2.2.1,2.2.1.2,PR000004635,NA,Q9BTC8,Q924K8,D3ZPH3,NA
ENSG00000057935,HsCD00745723,MTA3,metastasis associated 1 family member 3 [Source:HGNC Symbol;Acc:HGNC:23784],MTA3,"GATA,Myb/SANT","GATA,Myb_DNA-binding",3,3.5,3.5.1,3.5.1.3,PR000004635,NA,Q9BTC8,Q924K8,D3ZPH3,NA
ENSG00000059728,HsCD00001166,MXD1,MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761],MXD1,bHLH,HLH,1,1.2,1.2.6,1.2.6.7,PR000007616,NA,Q05195,P50538,F1LRY0,NA
ENSG00000060138,HsCD00041669,YBX3,Y-box binding protein 3 [Source:HGNC Symbol;Acc:HGNC:2428],CSDA,CSD,CSD,9,9.1,9.1.1,9.1.1.1,PR000273691,NA,P16989,Q9JKB3,Q62764,NA
ENSG00000060566,HsCD00080068,CREB3L3,cAMP responsive element binding protein 3-like 3 [Source:HGNC Symbol;Acc:HGNC:18855],CREB3L3,bZIP,bZIP_1,1,1.1,1.1.7,1.1.7.2,PR000096068,NA,Q68CJ9,Q91XE9,Q5FVM5,NA
ENSG00000062370,HsCD00505958,ZNF112,zinc finger protein 112 [Source:HGNC Symbol;Acc:HGNC:12892],ZNF285,C2H2 ZF,zf-C2H2,2,2.3,2.3.3,2.3.3.56,PR000711608,NA,Q96NJ3,,,NA
ENSG00000062370,HsCD00505958,ZNF112,zinc finger protein 112 [Source:HGNC Symbol;Acc:HGNC:12892],ZNF285,C2H2 ZF,zf-C2H2,2,2.3,2.3.4,2.3.4.0,PR000677245,NA,Q9UJU3,Q0VAW7,D4A286,NA
ENSG00000063515,HsCD00297189,GSC2,goosecoid homeobox 2 [Source:HGNC Symbol;Acc:HGNC:4613],GSC2,Homeodomain,Homeobox,3,3.1,3.1.3,3.1.3.9,PR000014363,NA,O15499,P56916,D3Z9R9,NA
ENSG00000064195,HsCD00041175,DLX3,distal-less homeobox 3 [Source:HGNC Symbol;Acc:HGNC:2916],DLX3,Homeodomain,Homeobox,3,3.1,3.1.2,3.1.2.5,PR000005739,NA,O60479,Q64205,D4ADD0,NA
ENSG00000064835,HsCD00083098,POU1F1,POU class 1 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9210],POU1F1,"Homeodomain,POU","Homeobox,Pou",3,3.1,3.1.10,3.1.10.1,PR000015097,NA,P28069,Q00286,P10037,NA
ENSG00000064961,HsCD00080003,HMG20B,high mobility group 20B [Source:HGNC Symbol;Acc:HGNC:5002],HMG20B,Sox,HMG_box,4,4.1,4.1.2,,PR000445040,NA,Q9P0W2,Q9Z104,D4A586,NA
ENSG00000065029,HsCD00515946,ZNF76,zinc finger protein 76 [Source:HGNC Symbol;Acc:HGNC:13149],ZNF76,C2H2 ZF,zf-C2H2,2,2.3,2.3.3,2.3.3.28,PR000014730,NA,P36508,Q8BMU0,B4F7E9,NA
ENSG00000065970,HsCD00398455,FOXJ2,forkhead box J2 [Source:HGNC Symbol;Acc:HGNC:24818],FOXJ2,Forkhead,Fork_head,3,3.3,3.3.1,3.3.1.10,PR000273599,NA,Q9P0K8,Q9ES18,D3Z992,NA
ENSG00000065978,HsCD00040576,YBX1,Y-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8014],YBX1,CSD,CSD,9,9.1,9.1.1,9.1.1.2,PR000015530,NA,P67809,P62960,P62961,NA
ENSG00000066136,HsCD00515518,NFYC,nuclear transcription factor Y subunit gamma [Source:HGNC Symbol;Acc:HGNC:7806],NFYC,Unknown,UNKNOWN,4,4.2,4.2.1,,PR000007831,NA,Q13952,P70353,Q62725,NA
ENSG00000066336,HsCD00082621,SPI1,Spi-1 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:11241],SPI1,Ets,Ets,3,3.5,3.5.2,3.5.2.5,PR000015955,NA,P17947,P17433,Q6BDS1,NA
ENSG00000067066,HsCD00745834,SP100,SP100 nuclear antigen [Source:HGNC Symbol;Acc:HGNC:11206],SP100,SAND,SAND,5,5.3,5.3.5,5.3.5.2,PR000014732,NA,P23497,O35892,Q5XI80,NA
ENSG00000067082,HsCD00508863,KLF6,Kruppel-like factor 6 [Source:HGNC Symbol;Acc:HGNC:2235],KLF6,C2H2 ZF,zf-C2H2,2,2.3,2.3.1,2.3.1.2,PR000009935,NA,Q99612,O08584,O35819,NA
ENSG00000067646,HsCD00516226,ZFY,"zinc finger protein, Y-linked [Source:HGNC Symbol;Acc:HGNC:12870]",ZFY,C2H2 ZF,zf-C2H2,2,2.3,2.3.3,2.3.3.65,PR000016669,NA,P08048,P20662,,NA
ENSG00000068305,HsCD00079977,MEF2A,myocyte enhancer factor 2A [Source:HGNC Symbol;Acc:HGNC:6993],MEF2A,MADS box,SRF-TF,5,5.1,5.1.1,5.1.1.1,PR000015125,NA,Q02078,Q60929,Q2MJT0,NA
ENSG00000068323,HsCD00295825,TFE3,transcription factor binding to IGHM enhancer 3 [Source:HGNC Symbol;Acc:HGNC:11752],TFE3,bHLH,HLH,1,1.2,1.2.6,1.2.6.1,PR000008396,NA,P19532,Q64092,D3ZAW6,NA
ENSG00000069011,HsCD00080002,PITX1,paired-like homeodomain 1 [Source:HGNC Symbol;Acc:HGNC:9004],PITX1,Homeodomain,Homeobox,3,3.1,3.1.3,3.1.3.19,PR000007726,NA,P78337,P70314,Q99NA7,NA
ENSG00000069812,HsCD00719320,HES2,hes family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:16005],HES2,bHLH,HLH,1,1.2,1.2.4,1.2.4.1,PR000013772,NA,Q9Y543,O54792,P35429,NA
ENSG00000070476,HsCD00511062,ZXDC,ZXD family zinc finger C [Source:HGNC Symbol;Acc:HGNC:28160],ZXDC,C2H2 ZF,zf-C2H2,2,2.3,2.3.3,2.3.3.46,PR000457588,NA,Q2QGD7,Q8C8V1,D3ZYP0,NA
ENSG00000071564,HsCD00746278,TCF3,transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11633],TCF3,bHLH,HLH,1,1.2,1.2.1,,PR000007584,NA,P15923,P15806,P21677,NA
ENSG00000072310,HsCD00513593,SREBF1,sterol regulatory element binding transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11289],SREBF1,bHLH,HLH,1,1.2,1.2.6,1.2.6.3,PR000007612,NA,P36956,Q9WTN3,P56720,NA
ENSG00000072736,HsCD00041134,NFATC3,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3 [Source:HGNC Symbol;Acc:HGNC:7777]",NFATC3,Rel,RHD,6,6.1,6.1.3,,PR000015821,NA,Q12968,P97305,D3ZU59,NA
ENSG00000073282,HsCD00079692,TP63,tumor protein p63 [Source:HGNC Symbol;Acc:HGNC:15979],TP63,p53,P53,6,6.3,6.3.1,,PR000018497,NA,Q9H3D4,O88898,Q9JJP6,NA
ENSG00000073584,HsCD00042094,SMARCE1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 [Source:HGNC Symbol;Acc:HGNC:11109]",SMARCE1,Sox,HMG_box,4,4.1,4.1.2,,PR000003400,NA,Q969G3,O54941,Q56A18,NA
ENSG00000074219,HsCD00042157,TEAD2,TEA domain family member 2 [Source:HGNC Symbol;Acc:HGNC:11715],TEAD2,TEA,TEA,3,3.6,3.6.1,,PR000677251,NA,Q15562,P48301,B5DF69,NA
ENSG00000074657,HsCD00623097,ZNF532,zinc finger protein 532 [Source:HGNC Symbol;Acc:HGNC:30940],ZNF532,C2H2 ZF,zf-C2H2,2,2.3,2.3.4,2.3.4.9,PR000677120,NA,Q9HCE3,S4R2I9,D4A659,NA
ENSG00000075407,HsCD00399541,ZNF37A,zinc finger protein 37A [Source:HGNC Symbol;Acc:HGNC:13102],ZNF37A,C2H2 ZF,zf-C2H2,2,2.3,2.3.4,2.3.4.25,PR000677367,NA,P17032,,,NA
ENSG00000075426,HsCD00042429,FOSL2,FOS-like antigen 2 [Source:HGNC Symbol;Acc:HGNC:3798],FOSL2,bZIP,bZIP_1,1,1.1,1.1.2,1.1.2.1,PR000015404,NA,P15408,P47930,P51145,NA
ENSG00000075891,HsCD00080452,PAX2,paired box 2 [Source:HGNC Symbol;Acc:HGNC:8616],PAX2,"Homeodomain,Paired box","Homeobox,PAX",3,3.2,3.2.2,3.2.2.2,PR000015400,NA,Q02962,P32114,D4ACZ2,NA
ENSG00000077092,HsCD00746025,RARB,"retinoic acid receptor, beta [Source:HGNC Symbol;Acc:HGNC:9865]",RARB,Nuclear receptor,zf-C4,2,2.1,2.1.2,2.1.2.1,PR000004947,NA,P10826,P22605,G3V956,NA
ENSG00000078399,HsCD00719021,HOXA9,homeobox A9 [Source:HGNC Symbol;Acc:HGNC:5109],HOXA9,Homeodomain,Homeobox,3,3.1,3.1.1,3.1.1.8,PR000019779,NA,P31269,P09631,D3ZSU5,NA
ENSG00000078900,HsCD00398497,TP73,tumor protein p73 [Source:HGNC Symbol;Acc:HGNC:12003],TP73,p53,P53,6,6.3,6.3.1,,PR000009380,NA,O15350,Q9JJP2,D4AA88,NA
ENSG00000080298,HsCD00505606,RFX3,regulatory factor X3 [Source:HGNC Symbol;Acc:HGNC:9984],RFX3,RFX,RFX_DNA_binding,3,3.3,3.3.3,,PR000008431,NA,P48380,P48381,Q5U2M9,NA
ENSG00000081059,HsCD00080088,TCF7,"transcription factor 7 (T-cell specific, HMG-box) [Source:HGNC Symbol;Acc:HGNC:11639]",TCF7,Sox,HMG_box,4,4.1,4.1.3,,PR000008409,NA,P36402,Q00417,D3ZLD0,NA
ENSG00000081189,HsCD00351710,MEF2C,myocyte enhancer factor 2C [Source:HGNC Symbol;Acc:HGNC:6996],MEF2C,MADS box,SRF-TF,5,5.1,5.1.1,5.1.1.1,PR000007642,NA,Q06413,Q8CFN5,F1LZC6,NA
ENSG00000081386,HsCD00079919,ZNF510,zinc finger protein 510 [Source:HGNC Symbol;Acc:HGNC:29161],ZNF510,C2H2 ZF,zf-C2H2,2,2.3,2.3.4,2.3.4.25,PR000677194,NA,Q9Y2H8,,,NA
ENSG00000082175,HsCD00297077,PGR,progesterone receptor [Source:HGNC Symbol;Acc:HGNC:8910],PGR,Nuclear receptor,zf-C4,2,2.1,2.1.1,2.1.1.1,PR000015115,NA,P06401,Q00175,Q63449,NA
ENSG00000082641,HsCD00039930,NFE2L1,"nuclear factor, erythroid 2 like 1 [Source:HGNC Symbol;Acc:HGNC:7781]",NFE2L1,bZIP,bZIP_1,1,1.1,1.1.1,1.1.1.2,PR000332969,NA,Q14494,Q61985,D4A349,NA
ENSG00000083307,HsCD00514302,GRHL2,grainyhead-like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:2799],GRHL2,Grainyhead,CP2,6,6.7,6.7.1,6.7.1.1,PR000676351,NA,Q6ISB3,Q8K5C0,B5DEI9,NA
ENSG00000083812,HsCD00515923,ZNF324,zinc finger protein 324 [Source:HGNC Symbol;Acc:HGNC:14096],ZNF324,C2H2 ZF,zf-C2H2,2,2.3,2.3.3,2.3.3.36,PR000676284,NA,O75467,,,NA
ENSG00000083814,HsCD00079983,ZNF671,zinc finger protein 671 [Source:HGNC Symbol;Acc:HGNC:26279],ZNF671,C2H2 ZF,zf-C2H2,2,2.3,2.3.4,2.3.4.24,PR000677013,NA,Q8TAW3,,,NA
ENSG00000083817,HsCD00079781,ZNF416,zinc finger protein 416 [Source:HGNC Symbol;Acc:HGNC:20645],ZNF416,C2H2 ZF,zf-C2H2,2,2.3,2.3.3,2.3.3.0,PR000676303,NA,Q9BWM5,,,NA
ENSG00000083828,HsCD00508375,ZNF586,zinc finger protein 586 [Source:HGNC Symbol;Acc:HGNC:25949],ZNF586,C2H2 ZF,zf-C2H2,2,2.3,2.3.3,2.3.3.0,PR000677502,NA,Q9NXT0,,,NA
ENSG00000083844,HsCD00514294,ZNF264,zinc finger protein 264 [Source:HGNC Symbol;Acc:HGNC:13057],ZNF264,C2H2 ZF,zf-C2H2,2,2.3,2.3.3,2.3.3.54,PR000676269,NA,O43296,,,NA
ENSG00000085274,HsCD00040564,MYNN,myoneurin [Source:HGNC Symbol;Acc:HGNC:14955],MYNN,C2H2 ZF,zf-C2H2,2,2.3,2.3.3,2.3.3.0,PR000677122,NA,Q9NPC7,Q99MD8,Q5FVP1,NA
ENSG00000085644,HsCD00399325,ZNF213,zinc finger protein 213 [Source:HGNC Symbol;Acc:HGNC:13005],ZNF213,C2H2 ZF,zf-C2H2,2,2.3,2.3.3,2.3.3.6,PR000677237,NA,O14771,,,NA
ENSG00000086102,HsCD00041582,NFX1,"nuclear transcription factor, X-box binding 1 [Source:HGNC Symbol;Acc:HGNC:7803]",NFX1,NFX,zf-NF-X1,0,0.4,0.4.1,,PR000010703,NA,Q12986,B1AY10,D4AE50,NA
ENSG00000087903,HsCD00041062,RFX2,regulatory factor X2 [Source:HGNC Symbol;Acc:HGNC:9983],RFX2,RFX,RFX_DNA_binding,3,3.3,3.3.3,,PR000007629,NA,P48378,P48379,B2GV50,NA
ENSG00000089225,HsCD00079979,TBX5,T-box 5 [Source:HGNC Symbol;Acc:HGNC:11604],TBX5,T-box,T-box,6,6.5,6.5.4,,PR000273681,NA,Q99593,P70326,Q5I2P1,NA
ENSG00000089335,HsCD00511196,ZNF302,zinc finger protein 302 [Source:HGNC Symbol;Acc:HGNC:13848],ZNF302,C2H2 ZF,zf-C2H2,2,2.3,2.3.3,2.3.3.44,PR000675433,NA,Q9NR11,,,NA
ENSG00000090447,HsCD00041055,TFAP4,transcription factor AP-4 (activating enhancer binding protein 4) [Source:HGNC Symbol;Acc:HGNC:11745],TFAP4,bHLH,HLH,1,1.2,1.2.6,1.2.6.4,PR000007579,NA,Q01664,Q9JIZ5,D3ZJT6,NA
ENSG00000090612,HsCD00505948,ZNF268,zinc finger protein 268 [Source:HGNC Symbol;Acc:HGNC:13061],ZNF268,C2H2 ZF,zf-C2H2,2,2.3,2.3.3,2.3.3.70,PR000677459,NA,Q14587,,,NA
ENSG00000091010,HsCD00079829,POU4F3,POU class 4 homeobox 3 [Source:HGNC Symbol;Acc:HGNC:9220],POU4F3,"Homeodomain,POU","Homeobox,Pou",3,3.1,3.1.10,3.1.10.4,PR000005983,NA,Q15319,Q63955,D3ZTL1,NA
ENSG00000091831,HsCD00514118,ESR1,estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467],ESR1,Nuclear receptor,zf-C4,2,2.1,2.1.1,2.1.1.2,PR000007590,NA,P03372,P19785,P06211,NA
ENSG00000092067,HsCD00296124,CEBPE,"CCAAT/enhancer binding protein (C/EBP), epsilon [Source:HGNC Symbol;Acc:HGNC:1836]",CEBPE,bZIP,bZIP_1,1,1.1,1.1.8,1.1.8.1,PR000006433,NA,Q15744,Q6PZD9,P56261,NA
ENSG00000092203,HsCD00079865,TOX4,TOX high mobility group box family member 4 [Source:HGNC Symbol;Acc:HGNC:20161],TOX4,Sox,HMG_box,4,4.1,4.1.2,,PR000680252,NA,O94842,Q8BU11,Q99PM1,NA
ENSG00000095574,HsCD00041364,IKZF5,IKAROS family zinc finger 5 [Source:HGNC Symbol;Acc:HGNC:14283],IKZF5,C2H2 ZF,zf-C2H2,2,2.3,2.3.4,2.3.4.4,PR000446693,NA,Q9H5V7,Q8BU00,D3ZBK4,NA
ENSG00000096401,HsCD00040588,CDC5L,cell division cycle 5 like [Source:HGNC Symbol;Acc:HGNC:1743],CDC5L,Myb/SANT,Myb_DNA-binding,3,3.5,3.5.1,3.5.1.1,PR000006153,NA,Q99459,Q6A068,O08837,NA
ENSG00000096654,HsCD00079790,ZNF184,zinc finger protein 184 [Source:HGNC Symbol;Acc:HGNC:12975],ZNF184,C2H2 ZF,zf-C2H2,2,2.3,2.3.3,2.3.3.0,PR000677229,NA,Q99676,Q7TSH9,,NA
ENSG00000099326,HsCD00505540,MZF1,myeloid zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:13108],MZF1,C2H2 ZF,zf-C2H2,2,2.3,2.3.3,2.3.3.0,PR000012831,NA,P28698,A1L358,D3ZF35,NA
ENSG00000100105,HsCD00745769,PATZ1,POZ (BTB) and AT hook containing zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:13071],PATZ1,C2H2 ZF,zf-C2H2,2,2.3,2.3.4,2.3.4.8,PR000006243,NA,Q9HBE1,Q5NBY9,D3ZX15,NA
ENSG00000100146,HsCD00042168,SOX10,SRY-box 10 [Source:HGNC Symbol;Acc:HGNC:11190],SOX10,Sox,HMG_box,4,4.1,4.1.1,4.1.1.5,PR000011103,NA,P56693,O55170,P56693,NA
ENSG00000100281,HsCD00073803,HMGXB4,HMG box domain containing 4 [Source:HGNC Symbol;Acc:HGNC:5003],HMGXB4,Sox,HMG_box,4,4.1,4.1.4,,PR000672648,NA,Q9UGU5,Q80Y32,D4A2N0,NA
ENSG00000100625,HsCD00079660,SIX4,SIX homeobox 4 [Source:HGNC Symbol;Acc:HGNC:10890],SIX4,Homeodomain,Homeobox,3,3.1,3.1.6,3.1.6.3,PR000011054,NA,Q9UIU6,Q61321,D3ZAJ7,NA
ENSG00000100644,HsCD00505780,HIF1A,"hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor) [Source:HGNC Symbol;Acc:HGNC:4910]",HIF1A,bHLH,HLH,1,1.2,1.2.5,1.2.5.1,PR000007623,NA,Q16665,Q61221,O35800,NA
ENSG00000100811,HsCD00076053,YY1,YY1 transcription factor [Source:HGNC Symbol;Acc:HGNC:12856],YY1,C2H2 ZF,zf-C2H2,2,2.3,2.3.3,2.3.3.9,PR000015122,NA,P25490,Q00899,Q8CHJ4,NA
